Source,Citations
wals[637-638],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 637-638. New York: Oxford University Press. ISBN 0199255911"
wals[637],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 637. New York: Oxford University Press. ISBN 0199255911"
wals[638-639],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 638-639. New York: Oxford University Press. ISBN 0199255911"
wals[638],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 638. New York: Oxford University Press. ISBN 0199255911"
wals[639],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 639. New York: Oxford University Press. ISBN 0199255911"
wals[640],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 640. New York: Oxford University Press. ISBN 0199255911"
wals[641-642],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 641-642. New York: Oxford University Press. ISBN 0199255911"
wals[641],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 641. New York: Oxford University Press. ISBN 0199255911"
wals[642],"Dryer, Matthew S. 2005. Genealogical Language List. In Bernard  Comrie, Matthew S. Dryer, David  Gil & Martin  Haspelmath (eds.), The World Atlas of Language Structures, 642. New York: Oxford University Press. ISBN 0199255911"
,"Dunn, Michael  & Malcolm D. Ross. 2007. Is Kazukuru Really Non-Austronesian?, Oceanic Linguistics, no. 1 edn., vol. 46, 210-231."
,"Dunn, Michael , Robert A Foley, Stephen Curtis Levinson, Ger P Reesink & Angela  Terrill. Structural Phylogenetics and the Reconstruction of Ancient Language History, Science Magazine, 23 Sep 2005 edn., vol. 309, 2072-2075. United States: American Association for the Advancement of Science."
,"Dutton, Tom E. 1975. South-Eastern Trans-New Guinea Phylum Languages. In Stephen A Wurm (ed.),  Papuan languages and the New Guinea linguistic scene: New Guinea area languages and language study, vol. 1, 613-664. Canberra: Dept. of Linguistics, Research School of Pacific Studies, Australian National University."
,"Dutton, Tom E. 1994. Motu-Koiarian contact in Papua New Guinea. In Tom E. Dutton & Darrell T Tryon (eds.), Language Contact and Change in the Austronesian World, 182-232. New York: Mouten de Gruyter."
,"Dyen, Isidore. . Some Evidence Favoring the Central Hypothesis, Tenth International Conference on Austronesian Linguistics."
,"Dyen, Isidore. 1965. A Lexicostatistical Classification of the Austronesian Languages. Baltimore: Waverly Press, Inc."
,"Dyen, Isidore. 1971. The Austronesian Languages of Formosa, Current Trends in Linguistics: Linguistics in Oceania, Current Trends in Linguistics, vol. 8, 168-199. The Hague, Paris: Mouton."
,"Décsy, Gyula. 1965. Einführung in die Finnisch-Ugrische Sprachwissenschaft. Wiesbaden: Otto Harrassowitz. ISBN 3-447-00248-4"
,"Edmondson, Jerold A. & David B. Solnit. 1997. Introduction. In Jerold A. Edmondson & David B. Solnit (eds.), Comparative Kadai: The Tai Branch, 1-26. ISBN 1-55671-005-4"
,"Egerod, Søren. 1991. Far Eastern Languages. In Sydney M. Lamb & E. Douglas Mitchell (eds.), Sprung from Some Common Source, 205-231. Stanford, California: Stanford University Press."
,"Ehret, Christopher. 1995. Reconstructing Proto-Afroasiatic (Proto-Afrasian). Berkeley: University of California Press. ISBN 0-520-09799-8"
,"Ehret, Christopher. 2000. Language and history. In Bernd  Heine & Derek  Nurse (eds.), African Languages: An Introduction, 1 edn., 291. ISBN 0521661781"
,"Ehret, Christopher. 2001. Nilo-Saharan Stratigraphy, ms."
,"Elbert, Samuel H. 1953. Internal Relationships of Polynesian Languages and Dialects, Southwestern Journal of Anthropology, no. 2 edn., vol. 9, 147-173."
,"Ellis, Francis Whyte. 1816. Note to the Introduction on the Various Dialects Spoken in India, 1-32."
,"Elugbe, Ben. . Issues in the Classification of West Benue-Congo, 27th Conference of the West African Linguistic Society (WALS)."
,"Emeneau, Murray B. 1962. Brahui and Dravidian Comparative Grammar. Berkeley: University of California Press ."
,"Esser, S J. 1938. Atlas van Tropisch Nederland, 9b. Batavia: Koninklijk Nederlandsch Aardrijkskundig Genootschap."
,"Ethnologue: Languages of the World. http://www.ethnologue.com/.  (29 October, 2009.)"
,"Evans, Nicholas  & Rhys  Jones. 1997. The Cradle of the Pama-Nyungans: Archeaological and Linguistic Speculations. In Nicholas  Evans & Patrick  McConvell (eds.), Archaeology and Linguistics: Aboriginal Australia in Global Perspective, 385-417. Melbourne: Oxford University Press Australia. ISBN 0 19 553728 9"
,"Evans, Nicholas. 1990. The Minkin Language of the Burketown Region. In Geoffrey N O'Grady & Darrell T Tryon (eds.), Studies in Comparative Pama-Nyungan, 173-207. Canberra: Pacific Linguistics."
,"Evans, Nicholas. 1995. A Grammar of Kayardild:  With Historical-Comparative Notes on Tangkic . Berlin: Mouton de Gruyter. ISBN 3-11-012795-4"
,"Evans, Nicholas. 1998. Iwaidja mutation and its origins. In Anna  Siewierska & Jae Jung  Song (eds.), Case, Typology and Grammar: In Honor of Barry J. Blake, 115-149. Philadelphia: John Benjamins ."
,"Evans, Nicholas. 2000. Iwaidjan, a very un-Australian family, Linguistic Typology, vol. 4, 91-142."
,"Evans, Nicholas. 2005. Australian Languages Reconsidered: A Review of Dixon 2002, Oceanic Linguistics, vol. 44, no. 1, 242-286."
,"Faßke, Helmut , Helmut  Jentsch, Siegfried  Michalk & F.  Mětšk. 1965. Sorbischer Sprachatlas. Bautzen: VEB Domowina-Verlag."
,"Fedden, Sebastian  & Robyn M. Loughnane. 2011. Is Oksapmin Ok? - A Study of the Genetic Relationship between Oksapmin and the Ok Languages, Australian Journal of Linguistics, vol. 31:1, 1-42. London: Routledge. ISBN 0726-8602"
,"Fennig, Charles D., M. Paul Lewis & Gary  Simons (eds.). 2013. Ethnologue: Languages of the World, Seventeenth edition, Ethnologue: Languages of the World.  http://www.ethnologue.com.  (09 April, 2013.)"
,"Ferlus, Michel. 1996. Remarques sur le consonantisme du proto kam-sui, Cahiers de linguistique - Asie orientale, vol. 25-2, 235-278. Paris: Centre de Recherches Linguistiques sur l'Asie Orientale (Ecole des Hautes Etudes en Sciences Sociales)."
,"Fleming, Harold C. 1976. Cushitic and Omotic. In M. Lionel Bender, J. D. Bowen, Robert L Cooper & Charles A. Ferguson (eds.), Language in Ethiopia. London: Oxford University Press. ISBN 0194361020"
,"Fleming, Harold C. 2006. Ongota: A Decisive Language in African Prehistory. Wiesbaden: Harrassowitz Verlag. ISBN 3-447-05124-8"
,"Foley, William A. 1986. The Papuan Language of New Guinea. London: Cambridge University Press."
,"Foley, William A. 2000. The Languages of New Guinea, Annual Review of Anthropology, vol. 29, 357–404. Palo Alto, CA: Annual Reviews."
,"Foley, William A. 2005. Linguistic prehistory in the Sepik-Ramu basin. In Richard  Attenborough, Jack  Golson, Robert  Hide & Andrew K Pawley (eds.), Papuan Pasts: Cultural, Linguistic and Biological Histories of Papuan-Speaking Peoples, 109-144. Canberra: Pacific Linguistics. ISBN 0858835622"
,"Franklin, Karl J. 1975. Isolates: Gulf District. In Pacific Linguistics, vol. 1, 891-895. Canberra: Australian National University."
,"Geraghty, Paul. 1983. The History of the Fijian Languages, 483. Honolulu: University of Hawaii Press."
,"Goddard, Ives  (ed.). 1996. Handbook of North American Indians, vol. 17, 4-5. Washington: Smithsonian Institution. ISBN 0874741971"
,"Goddard, Ives  (ed.). 1996. Handbook of North American Indians, vol. 17, 5-8. Washington: Smithsonian Institution. ISBN 0874741971"
,"Goddard, Ives  (ed.). 1996. Handbook of North American Indians, vol. 17, 5. Washington: Smithsonian Institution. ISBN 0874741971"
,"Goddard, Ives  (ed.). 1996. Handbook of North American Indians, vol. 17, 6-7. Washington: Smithsonian Institution. ISBN 0874741971"
,"Goddard, Ives  (ed.). 1996. Handbook of North American Indians, vol. 17, 6. Washington: Smithsonian Institution. ISBN 0874741971"
,"Goddard, Ives  (ed.). 1996. Handbook of North American Indians, vol. 17, 7. Washington: Smithsonian Institution. ISBN 0874741971"
,"Goddard, Ives  (ed.). 1996. Handbook of North American Indians, vol. 17, 8. Washington: Smithsonian Institution. ISBN 0874741971"
,"Goddard, Ives. 1996. The Classification of the Native Languages of North America, Handbook of North American Indians, vol. 17, 4-8. Washington: Smithsonian Institute. ISBN 0874741971"
,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
,"Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.), Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 51. London, New York: Routledge."
,"Gravina, Richard. 2009. The internal classification of Chadic Biu-Mandara, Topics in Chadic Linguistics, vol. VI, 67-84. Koln: Rudiger Koppe. ISBN 978-3-89645-526-0"
,"Gray, Russell D. & Simon J. Greenhill. 2009. Austronesian language phylogenies: myths and misconceptions about Bayesian computational methods. In K. Alexander  Adelaar & Andrew K Pawley (eds.), Austronesian historical linguistics and culture history: a festschrift for Robert Blust, Pacific Linguistics, vol. 601, 1-23. Canberra: Pacific Linguistics."
,"Green, Ian  & Rachel  Nordlinger. 2004. Revisiting Proto-Mirndi. In Claire  Bowern & Harold  Koch (eds.), Australian Languages: The classification and comparative method, vol. 249, 291-311. Amsterdam: John Benjamins."
,"Green, Ian. 2003. The Genetic Status of Murrinh-patha. In Nicholas  Evans (ed.), The Non-Pama-Nyungan Languages of Northern Australia: Comparative Studies of the Continent's Most Linguistically Complex Region, 125-158. Canberra: Pacific Linguistics. ISBN 085883538"
,"Green, Rebecca. 2003. Proto Maningrida within Proto Arnhem: Evidence from Verbal Inflectional Suffixes. In Nicholas  Evans (ed.), The Non-Pama-Nyungan Languages of Northern Australia: Comparative Studies of the Continent's Most Linguistically Complex Region, 369-421. Canberra: Pacific Linguistics. ISBN 085883538"
,"Green, Roger. 1966. Linguistic Subgrouping within Polynesia: The Implications for Prehistoric Settlement. In The Journal of the Polynesian Society, 1 edn., vol. 75, 6-38. University of Auckland: The Polynesian Society."
,"Greenberg, Joseph H. 1955. Studies in African Linguistics Classification. New Haven: The Compass Publishing Company."
,"Greenberg, Joseph H. 1955. The Eastern Sudanic Family. In Joseph H. Greenberg, Studies in African Linguistics Classification, 62-79. New Haven: The Compass Publishing Company."
,"Greenberg, Joseph H. 1955. The Niger Congo Family. In Joseph H. Greenberg, Studies in African Linguistics Classification, 6-23. New Haven: The Compass Publishing Company."
,"Greenberg, Joseph H. 1963. The languages of Africa, International Journal of African Linguistics, vol. 29.1"
,"Greenberg, Joseph H. 1966. Nilo-Saharan. In Joseph H. Greenberg, The Languages of Africa, 130-148. Bloomington: Indiana University."
,"Greenberg, Joseph H. 1971. The Indo-Pacific Hypothesis, Linguistics in Oceania Current Trends in Linguistics (Current Trends in Linguistics), vol. 8. Paris: Mouton."
,"Greenberg, Joseph H. 1987. Language in the Americas, 379-386. Stanford: Stanford University Press. ISBN 0804713154"
,"Greenberg, Joseph H. 1987. Language in the Americas. Stanford: Stanford University Press. ISBN 0804713154"
,"Greenberg, Joseph H. 1991. Some problems of Indo-European in Historical Perspective, Sprung from Some Common Source, 125-140. Stanford, California: Stanford University Press."
,"Greenberg, Joseph H. The Languages of Africa, Third edn. 1970. University: Indiana University."
,"Gregersen, Edgar A. 1972. Kongo-Saharan, 1 edn., vol. 11, 69-89."
,"Grierson, George A. 1904. Mon-Khmer and Siamese-Chinese Families, Linguistic Survey of India, vol. 2. Calcutta: Office of the Superintendent of Government Printing, India."
,"Grierson, George A. 1963. General Results of the Survey, Linguistic Survey of India, vol. 1. Delhi: Motilal Banarsidass."
,"Gudschinsky, Sarah C. 1958. Proto-Popotecan: A Comparative Study of Popolocan and Mixtecan, 118."
,"Guthrie, Malcolm. 1948. The Classification of the Bantu Languages. London: Oxford University Press for the International African Institute."
,"Güldemann, Tom  & Rainer                       Vossen. 2000. Khoisan. In Bernd  Heine & Derek  Nurse (eds.), African Languages: An Introduction, 1 edn.ISBN 0521661781"
,"Güldemann, Tom. 2006. Structural isoglosses between Khoekhoe and Tuu: the Cape as a linguistic area. , Linguistic areas: convergence in historical and typological perspective., 99-134. Hampshire: Palgrave Macmillan."
,"Haarmann, Harald  & Anna-Liisa Värri Haarmann. 1974. Die finnisch-ugrischen Sprachen. Hamburg: Helmut Buske Verlag. ISBN 3-87118-155-2"
,"Hajdu, Peter. 1963. The Uralic and Altaic Series: The Samoyed Peoples and Languages, vol. 14, 57-58. Bloomington: Indian University Press. ISBN 0-7007-0380-2"
,"Hale, Kenneth L. 1964. Classification of Northern Paman Languages, Cape York Peninsula, Australia: A Research Report, Oceanic Linguistics, vol. 3, No. 2, 248-265."
,"Hansell, Mark. 1988. The Relation of Be to Tai: Evidence from Tones and Initials. In Jerold A. Edmondson & David B. Solnit, Comparative Kadai: Linguistic studies beyond Tai, 239-287. ISBN 0-88312-066-6"
,"Hardman, Martha J. 1986. De Donde Vino el Jaqaru, 16. Gainesville, FL: Andean Press Qillq Imprenta. , Hardman, M J. 1975. Proto-Jaqi: reconstrucción del sistema de personas gramaticales, Revista del Museo Nacional, vol. 41, 433-56. , Hardman, M J. 1978. La familia lingüística andina jaqi: jaqaru, kauki, aymara, Vicus Cuardenos: Lingüística, vol. 2, 5-28. , Hardman, M J. 1978. Jaqi: the linguistic family, IJAL, vol. 44, 146-53."
,"Harms, Robert T. 1979. Uralic Languages, The New Encyclopaedia Britannica, 15 edn., vol. 18, 1022-1032. Chicago: Encyclopaedia Britannica, Inc. ISBN 0-85229-339-9"
,"Harvey, Mark. 2001. A Grammar of Limilngan: A Language of the Mary River Region, Northern Territory. Canberra: Pacific Linguistics."
,"Harvey, Mark. 2001. A Grammar of Limilngan: A Language of the Mary River Region, Northern Territory. Canberra: Pacific Linguistics. , Hammarström, Harald. 2010. A Stratified Guide to Descriptive Resources - For Typologists, Draft 8. http://haraldhammarstrom.ruhosting.nl/lwib.pdf.  (08 August, 2011.), Evans, Nicholas. 2003. Introduction: Comparative non-Pama-Nyungan and Australian historical linguistics. In Nicholas  Evans (ed.), The Non-Pama-Nyungan Languages of Northern Australia: Comparative Studies of the Continent's Most Linguistically Complex Region, 3-25. Canberra: Pacific Linguistics. ISBN 085883538, 2011. AUSTLANG: Australian Indigenous Languages Database. http://austlang.aiatsis.gov.au/main.php.  (19 October, 2009.), Tindale, Norman B. 1974. Aboriginal tribes of Australia, their terrain, environmental controls, distribution, limits, and proper names. With four sheet map. Berkeley & Canberra: University of California Press. , Dousset, Laurent. AusAnthrop: Research and resources on Aboriginal Australia. http://www.ausanthrop.net/index.php.  (19 October, 2009.), Multiple sources Integrated by The LINGUIST List."
,"Harvey, Mark. 2003. The Evolution of Verb Systems in the Eastern Daly Language Family. In Nicholas  Evans (ed.), The Non-Pama-Nyungan Languages of Northern Australia: Comparative Studies of the Continent's Most Linguistically Complex Region, 159-184. Canberra: Pacific Linguistics. ISBN 085883538"
,"Harvey, Mark. 2008. Proto Mirndi: A Discontinuous Language Family in Northern Australia. Canberra: Pacific Linguistics. ISBN 9780858835887"
,"Haudricourt, André G. La langue lakkia, Bulletin de la Société de linguistique de Paris, vol. 62, 165-182. Paris: Société de linguistique de Paris."
,"Hayes, La Vaughn H. 1992. Vietic and Viet-Muong: a new subgrouping in Mon-Khmer, The Mon-Khmer Studies Journal, vol. 21, 211-228."
,"Hayward, Richard J. 2000. Afroasiatic. In Bernd  Heine & Derek  Nurse (eds.), African Languages: An Introduction, 1 edn., 75-98. ISBN 0521661781"
,"Headley, Robert K, Jr. 1985. Proto-Pearic and the Classification of Pearic, 428-478."
,"Healey, Alan  & David D Thomas. 1962. Some Philippine Language Subgroupings: A Lexicostatistical Study, Anthropological Linguistics, no. 9  edn., vol. 4, 21-33. Bloomington: Indiana University."
,"Heath, Jeffrey. 2012. Dogon and Bangime Linguistics. http://dogonlanguages.org/.  (20 September, 2012.)"
,"Helimski, Eugene Arnoľdovič. 2013. Самодийские языки. Лингвистический энциклопедический словарь., Philology.ru. Русский филологический портал. http://www.philology.ru/linguistics3/khelimsky-90.htm.  (30 September, 2013.)"
,"Hercus, Luise Anna & Jane H. Simpson. 2004. Thura Yura as a subgroup. In Claire  Bowern & Harold  Koch (eds.), Australian Languages: The classification and comparative method, vol. 249, 179-206. Amsterdam: John Benjamins."
,"Hodge, Carleton T. 1976. Lisramic (Afroasiatic): An Overview, The Non-Semitic Languages of Ethiopia, 43-66. East Lansing: African Study Center."
,"Hodge, Carleton T. 1991. Indo-European and Afroasiatic, Sprung from Some Common Source, 141-165. Stanford, California: Stanford University Press."
,"Holton, Gary , Marian  Klamer, Frantisek  Kratochvil, Laura C Robinson & Antoinette  Schapper. 2012. The Historical Relations of the Papuan  Languages of Alor and Pantar, Oceanic Linguistics, 1 edn., vol. 51, 86-122."
,"Holzknecht, Susanne. 1994. The mechanisms of language change in Labu. In Tom E. Dutton & Darrell T Tryon (eds.), Language Contact and Change in the Austronesian World, 352-376. New York: Mouten de Gruyter."
,"Isara, Choosri. 2002. Dialects of Chong, The Mon-Khmer Studies Journal, vol. 32, 55-70."
,"Jackson, Frederick H. 1983. The internal and external relationships of the Trukic languages of Micronesia, 460."
,"Janhunen, Juha. 1998. The Uralic Languages, 457-461. London: Routledge. ISBN 978-0-415-41264-3"
,"Janhunen, Juha. 2001. On the paradigms of Uralic comparative studies, Finnisch-Ugrische Forschungen, vol. 56, 29-41."
,"Kaufman, Terrence. 1994. The native languages of South America, Atlas of the World's Languages, 1 edn., 56. London: Routledge. ISBN 0415019257, Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 177. Oxford: Oxford University Press. ISBN 0195094271"
,"Kaufman, Terrence. 1994. The native languages of South America, Atlas of the World's Languages, 1 edn., 60. London: Routledge. ISBN 0415019257, Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 182. Oxford: Oxford University Press. ISBN 0195094271"
,"Kaufman, Terrence. 1994. The native languages of South America, Atlas of the World's Languages, 1 edn., 64. London: Routledge. ISBN 0415019257, Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 187. Oxford: Oxford University Press. ISBN 0195094271"
,"Kaufman, Terrence. 1994. The native languages of South America, Atlas of the World's Languages, 1 edn., 65. London: Routledge. ISBN 0415019257, Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 190. Oxford: Oxford University Press. ISBN 0195094271"
,"Kaufman, Terrence. 1994. The native languages of South America, Atlas of the World's Languages, 1 edn., 67. London: Routledge. ISBN 0415019257, Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 193. Oxford: Oxford University Press. ISBN 0195094271"
,"Kaufman, Terrence. 1994. The native languages of South America, Atlas of the World's Languages, 1 edn., 70. London: Routledge. ISBN 0415019257, Campbell, Lyle. 1997. American Indian Languages: The Historical Linguistics of Native America, 197. Oxford: Oxford University Press. ISBN 0195094271"
,"Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 51. London, New York: Routledge."
,"Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 51. London, New York: Routledge. , Asher, R. E. & Christopher  Moseley (eds.). 2007. Meso-America: Time of Contact, Atlas of the World's Languages, 2 edn., 56. London, New York: Routledge."
,"Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 51. London, New York: Routledge. , Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
,"Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 52. London, New York: Routledge."
,"Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 53. London, New York: Routledge."
,"Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 53. London, New York: Routledge. , Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
,"Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 54. London, New York: Routledge."
,"Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 54. London, New York: Routledge. , Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
,"Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 63-64. London, New York: Routledge."
,"Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 63. London, New York: Routledge."
,"Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 63. London, New York: Routledge. , Campbell, Lyle. The classification of South American languages. In Lyle  Campbell & Verónica  Grondona (eds.), South America. Berlin: Mouton de Gruyter."
,"Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 64-65. London, New York: Routledge."
,"Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 64-65. London, New York: Routledge. , Gordon, Raymond G. (ed.). 2005. Ethnologue: Languages of the World, 15 edn. http://www.ethnologue.com/15/web.asp.  (09 July, 2008.)"
,"Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 65-67. London, New York: Routledge."
,"Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 65-67. London, New York: Routledge. , Campbell, Lyle. The classification of South American languages. In Lyle  Campbell & Verónica  Grondona (eds.), South America. Berlin: Mouton de Gruyter."
,"Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 65. London, New York: Routledge."
,"Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 68. London, New York: Routledge."
,"Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 69-70. London, New York: Routledge."
,"Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 69. London, New York: Routledge."
,"Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 70-71. London, New York: Routledge."
,"Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 70. London, New York: Routledge."
,"Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 71. London, New York: Routledge."
,"Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 72-73. London, New York: Routledge."
,"Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 72-73. London, New York: Routledge. , Campbell, Lyle. The classification of South American languages. In Lyle  Campbell & Verónica  Grondona (eds.), South America. Berlin: Mouton de Gruyter."
,"Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 72. London, New York: Routledge."
,"Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 73-74. London, New York: Routledge."
,"Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 74-75. London, New York: Routledge."
,"Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 74. London, New York: Routledge."
,"Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 75-76. London, New York: Routledge."
,"Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 77. London, New York: Routledge."
,"Kaufman, Terrence. 2007. Atlas of the World's Languages, 2 edn., 77. London, New York: Routledge. , Campbell, Lyle. The classification of South American languages. In Lyle  Campbell & Verónica  Grondona (eds.), South America. Berlin: Mouton de Gruyter."
,"Kiessling, Roland  & Maarten  Mous. 2003. The Lexical Reconstruction of West-Rift Southern Cushitic. ISBN 3-89645-068-9"
,"Konow, Sten. 1906. Linguistic Survey of India:  Muṇḍā and Dravidian Languages, vol. IV. Delhi: Motilal Banarsidass."
,"Kosaka, Ryuichi. 2000. A descriptive study of the Lachi language: syntactic description, historical reconstruction and genetic relation."
,"Kosaka, Ryuichi. 2002. On the affiliation of Miao-Yao and Kadai: Can we posit the Miao-Dai family?, Mon-Khmer Studies, vol. 32, 71-100. Research Institute for Language and Culture of Asia: SIL International. ISBN 0147-5207"
,"Krauss, Michael E. 1973. Na-Dene. In William  Bright, Dell Hathaway Hymes, John  Lotz, Albert  Marckwardt & Jean-Paul  Vinay (eds.), Linguistics in North America, Current Trends in Linguistics, vol. 10, 903-978. The Hague: Mouton."
,"Krauss, Michael E. 1976. Eskimo-Aleut, Native Languages of the Americas, vol. 1, 182-281. New York: Plenum Press. ISBN 0-306-37157-X"
,"Krauss, Michael E. 1979. Na-Dene and Eskimo-Aleut, The Languages of Native America: Historical and Comparative Assessment, 808-901. Austin, TX: University of Texas Press. ISBN 0-292-74624-5"
,"Krickeberg, Walter  & Agustin  Villagra. 1937. Mapa Linguistico de Sudamerica."
,"Krishnamurti, Bhadriraju. 2003. The Dravidian languages, 21. Cambridge: Cambridge University Press."
,"Köhler, Oswin. 1955. Geschichte der Erforschung der nilotischen Sprachen, Afrika und Übersee, 85."
,"Köhler, Oswin. 1975. Geschichte und Probleme der Gliederung der Sprachen Afrikas. In Hermann  Baumann (ed.), Die Völker Afrikas und ihre traditionellen Kulturen, 137-373. Wiesbaden: Franz Steiner Verlag GmbH."
,"L. Thongkum, Theraphan. 1992. A Preliminary reconstruction of Proto-Lakkja (Cha Shan Yao), Mon-Khmer Studies, vol. 20, 57-89. Research Institute for Language and Culture of Asia: SIL International. ISBN 0147-5207"
,"LaPolla, Randy J. & Graham Ward Thurgood (eds.). 2003. The Sino-Tibetan Languages. London: Routledge. ISBN 0-7007-1129-5, Thurgood, Graham Ward. 2003. A Subgrouping of the Sino-Tibetan Languages: The Interaction Between Language Contact, Change, and Inheritance. In Randy J. LaPolla & Graham Ward Thurgood (eds.), The Sino-Tibetan Languages, 3-21. London: Routledge. ISBN 0-7007-1129-5"
,"Langdon, Robert   & Darrell T Tryon. 1983. The Language of Easter Island: Its Development and Eastern Polynesian Relationships, 73. Laie, Hawaii: The Institute for Polynesian Studies. ISBN 0-939154-32-3"
,"Laycock, Donald C. & J  Z'graggen. 1975. The Sepik-Ramu Phylum. In Stephen A Wurm (ed.),  Papuan languages and the New Guinea linguistic scene: New Guinea area languages and language study, vol. 1, 731-763. Canberra: Dept. of Linguistics, Research School of Pacific Studies, Australian National University."
,"Laycock, Donald C. 1973. Sepik Languages- Checklist and Preliminary Classification. Canberra, Australia: Pacific Linguistics. ISBN 0858830841"
,"Laycock, Donald C. 1975.  Papuan languages and the New Guinea linguistic scene: New Guinea area languages and language study, vol. 1, 849-853. Canberra: Dept. of Linguistics, Research School of Pacific Studies, Australian National University."
,"Laycock, Donald C. 1975.  Papuan languages and the New Guinea linguistic scene: New Guinea area languages and language study, vol. 1, 853-854. Canberra: Dept. of Linguistics, Research School of Pacific Studies, Australian National University."
,"Laycock, Donald C. 1975.  Papuan languages and the New Guinea linguistic scene: New Guinea area languages and language study, vol. 1, 854-855. Canberra: Dept. of Linguistics, Research School of Pacific Studies, Australian National University."
,"Laycock, Donald C. 1975. The Torricelli Phylum. In Stephen A Wurm (ed.),  Papuan languages and the New Guinea linguistic scene: New Guinea area languages and language study, vol. 1. Canberra: Dept. of Linguistics, Research School of Pacific Studies, Australian National University."
